Attendance,Home Score,Home 1st Q,Home FG%,Home 3pt%,Home FT%,Away Score,Away 1st Q,Away FG%,Away 3pt%,Away FT%
18624,105,21,43.3,29.7,71.4,87,21,39.1,19.2,60.9
19596,108,31,44.2,26.9,94.4,100,23,36.3,27.0,64.9
20332,103,24,42.4,25.0,86.4,100,29,48.8,18.5,68.2
17889,112,23,44.6,42.1,63.6,113,36,49.4,41.2,75.0
17923,111,27,56.6,38.5,53.8,83,16,29.8,34.5,82.1
19191,104,25,41.5,28.0,61.3,101,31,39.2,27.3,72.7
18624,105,21,43.3,29.7,71.4,87,21,39.1,19.2,60.9
19596,108,31,44.2,26.9,94.4,100,23,36.3,27.0,64.9
20332,103,24,42.4,25.0,86.4,100,29,48.8,18.5,68.2
17889,112,23,44.6,42.1,63.6,113,36,49.4,41.2,75.0
17923,111,27,56.6,38.5,53.8,83,16,29.8,34.5,82.1
19191,104,25,41.5,28.0,61.3,101,31,39.2,27.3,72.7
18249,126,23,45.5,36.4,77.4,107,24,45.6,27.8,83.3
19915,116,28,48.9,42.4,60.0,104,25,40.0,36.8,74.4
18055,112,29,42.4,33.3,75.0,131,35,53.1,40.0,77.3
18354,112,31,43.0,44.0,72.4,108,23,42.9,31.6,88.9
17583,117,34,51.6,36.8,66.7,123,30,51.9,48.1,73.7
18055,121,37,54.3,55.9,87.5,100,24,43.2,30.3,70.0
19068,98,24,39.8,28.6,83.3,107,29,37.9,33.3,78.6
18624,105,21,43.3,29.7,71.4,87,21,39.1,19.2,60.9
19596,108,31,44.2,26.9,94.4,100,23,36.3,27.0,64.9
20332,103,24,42.4,25.0,86.4,100,29,48.8,18.5,68.2
17889,112,23,44.6,42.1,63.6,113,36,49.4,41.2,75.0
17923,111,27,56.6,38.5,53.8,83,16,29.8,34.5,82.1
18624,105,21,43.3,29.7,71.4,87,21,39.1,19.2,60.9
19596,108,31,44.2,26.9,94.4,100,23,36.3,27.0,64.9
20332,103,24,42.4,25.0,86.4,100,29,48.8,18.5,68.2
17889,112,23,44.6,42.1,63.6,113,36,49.4,41.2,75.0
17923,111,27,56.6,38.5,53.8,83,16,29.8,34.5,82.1
19191,104,25,41.5,28.0,61.3,101,31,39.2,27.3,72.7
18249,126,23,45.5,36.4,77.4,107,24,45.6,27.8,83.3
19915,116,28,48.9,42.4,60.0,104,25,40.0,36.8,74.4
18055,112,29,42.4,33.3,75.0,131,35,53.1,40.0,77.3
18354,112,31,43.0,44.0,72.4,108,23,42.9,31.6,88.9
17583,117,34,51.6,36.8,66.7,123,30,51.9,48.1,73.7
18055,121,37,54.3,55.9,87.5,100,24,43.2,30.3,70.0
19068,98,24,39.8,28.6,83.3,107,29,37.9,33.3,78.6
20302,127,38,47.3,33.3,90.0,108,41,43.6,33.3,75.0
20409,112,25,46.9,26.9,74.4,113,24,39.2,34.3,73.5
19996,128,34,44.0,35.1,93.1,119,31,48.4,23.3,75.9
17668,88,10,38.3,19.4,71.4,120,22,46.7,44.7,85.0
17732,107,33,49.3,40.0,87.5,105,24,40.2,32.1,90.0
18978,131,32,50.6,40.0,94.3,123,30,48.4,34.8,86.2
19800,113,18,46.7,37.1,73.7,101,25,40.4,38.9,70.0
18337,149,40,58.9,51.6,63.6,129,32,52.1,40.0,73.1
17019,131,37,54.3,50.0,69.8,117,33,49.4,46.7,58.3
17341,118,30,47.3,37.0,61.9,101,25,43.7,33.3,70.4
18306,123,34,44.9,41.3,82.8,124,32,56.3,52.6,88.9
14816,108,27,43.2,42.3,75.0,92,20,35.8,21.2,73.9
16185,113,22,41.6,33.3,81.3,117,24,44.3,34.5,80.6
17007,132,33,55.4,66.7,63.6,112,29,47.7,43.2,63.6
20300,116,30,47.9,51.5,90.0,115,32,45.6,55.2,77.3
19427,101,18,41.4,34.3,63.0,103,31,40.2,36.0,84.8
21289,116,27,50.6,33.3,80.8,118,25,40.6,45.0,78.3
19600,112,29,46.1,32.4,70.4,113,34,44.1,38.1,65.2
20205,140,37,50.0,34.0,73.5,136,46,52.4,51.9,85.0
19592,119,30,50.6,32.1,82.8,91,16,37.7,28.2,62.9
19461,121,22,53.6,46.9,84.2,108,22,42.0,43.3,78.6
18997,115,28,48.0,25.0,61.1,124,31,45.8,38.1,66.7
19432,111,34,46.5,37.0,64.3,133,24,49.0,46.8,78.9
18203,120,32,44.2,23.1,63.3,131,34,54.9,45.5,75.0
19520,100,17,40.7,18.8,57.1,98,25,45.6,24.1,79.2
16149,115,29,47.2,20.0,100.0,112,24,48.3,42.9,73.3
18624,90,19,40.7,22.5,77.8,93,28,40.9,28.6,70.0
19800,127,31,57.5,38.5,85.7,106,22,42.3,32.1,83.3
10371,101,25,42.4,21.2,91.7,91,28,39.1,30.8,68.8
16228,124,33,46.9,42.5,70.8,113,29,45.5,34.5,86.7
19291,115,31,43.0,31.9,95.2,109,28,51.2,56.5,66.7
18306,84,22,35.4,25.0,78.3,92,19,36.9,32.1,80.8
19187,124,32,39.8,28.2,87.1,125,28,41.8,40.5,69.2
18997,142,26,51.4,35.9,69.2,143,40,51.5,53.6,73.7
19596,123,32,51.1,37.8,73.1,103,23,45.3,26.5,88.9
14418,133,27,47.2,36.4,70.4,132,28,50.0,32.6,71.4
14625,116,27,43.0,25.0,75.0,109,26,47.1,25.0,81.5
13214,126,33,51.5,36.7,86.7,112,26,52.3,41.9,45.0
16705,111,22,40.7,39.5,71.0,104,42,41.8,30.0,61.5
19432,86,17,38.2,16.7,93.8,102,24,43.7,41.2,80.0
19600,110,16,47.6,44.8,67.9,87,27,36.3,36.4,64.3
19800,112,26,51.7,34.4,75.0,105,19,41.7,50.0,62.5
18055,89,29,40.2,27.5,57.1,100,24,43.6,34.5,78.6
19170,112,24,48.1,34.5,80.0,110,27,43.5,28.6,89.7
18354,96,22,40.2,31.6,95.2,116,28,52.9,53.1,87.5
17341,123,22,41.0,30.2,93.3,108,34,41.3,32.4,70.0
14198,97,19,42.2,33.3,63.6,92,28,38.3,27.0,76.9
18055,113,30,52.4,32.3,71.4,131,32,52.0,35.7,73.9
19596,144,46,57.6,45.5,92.0,122,37,45.2,28.6,92.9
15114,114,22,50.0,40.0,80.0,128,33,55.2,40.7,80.8
15896,110,30,52.6,39.3,58.6,103,27,46.1,33.3,86.7
18203,95,22,39.4,25.0,56.0,101,16,38.4,34.4,72.7
18997,121,22,50.0,34.5,82.6,114,26,50.0,26.1,80.0
15220,135,23,57.0,43.8,93.8,106,25,43.5,44.4,72.7
19800,116,39,48.4,40.7,85.0,107,26,41.3,40.0,79.2
19812,100,25,43.3,33.3,75.0,128,25,58.6,48.5,83.3
18055,113,30,38.8,36.6,88.0,133,31,54.4,52.2,92.1
16334,95,16,32.1,23.3,72.2,125,27,53.3,41.3,72.7
15272,117,32,44.9,39.1,76.9,115,30,43.9,47.5,66.7
14101,116,28,46.3,37.8,60.9,112,27,46.5,33.3,78.3
18120,89,21,37.1,18.9,80.0,109,30,45.3,41.2,68.0
16373,111,31,42.1,26.5,75.9,132,28,52.3,31.3,81.1
20203,105,32,38.5,35.7,83.3,103,28,38.9,25.7,83.3
15549,85,25,32.1,30.0,82.6,97,22,43.4,36.4,81.3
19432,107,30,46.5,28.0,90.9,119,30,64.9,38.5,69.2
19600,120,33,45.8,38.5,65.4,111,22,42.0,36.4,89.3
15926,117,26,55.7,34.6,90.9,96,18,46.2,27.3,78.9
17341,113,30,50.0,33.3,91.3,91,25,32.7,23.3,88.2
18589,110,29,48.4,18.8,79.2,106,36,47.7,39.4,61.1
17732,114,29,48.3,47.6,66.7,120,32,49.4,33.3,87.5
19571,104,19,41.8,32.1,76.0,113,26,52.5,40.0,86.4
18203,117,30,50.6,29.2,68.6,110,20,44.2,29.6,96.3
16491,136,28,54.4,55.2,61.5,104,20,39.2,18.5,82.1
20269,113,20,41.4,29.8,94.4,92,25,37.2,21.6,66.7
15788,93,16,41.1,31.6,65.0,103,23,48.7,38.5,94.4
19600,113,28,41.3,33.3,70.6,123,17,49.5,46.2,60.0
19221,115,26,48.9,37.5,88.9,96,26,40.5,28.9,77.3
21076,124,28,48.9,31.4,61.8,149,44,55.2,53.3,73.1
17341,124,30,48.9,42.2,78.9,109,29,37.9,20.0,78.6
18978,124,36,42.9,48.3,86.7,120,32,47.1,36.4,66.7
18354,113,20,46.2,45.0,95.2,108,18,47.3,29.4,70.6
15217,116,20,45.2,31.4,91.3,111,24,52.4,45.8,70.0
15074,99,31,39.6,25.6,72.7,107,26,48.8,36.4,65.4
19432,136,35,50.0,52.0,76.7,114,31,53.7,42.9,64.7
14117,125,31,54.3,46.4,82.8,113,29,47.1,39.3,83.3
19800,129,35,51.1,40.7,85.7,112,26,41.8,35.0,73.3
18624,108,31,44.0,29.0,78.1,105,28,42.0,26.7,85.2
14106,107,22,48.6,46.4,71.0,95,24,43.2,40.0,85.0
18055,85,15,32.3,23.3,56.5,104,19,47.5,40.0,87.0
18203,128,25,51.1,52.9,71.9,110,33,47.3,35.0,76.7
12862,120,28,42.6,31.6,73.3,119,22,41.9,32.4,76.9
10079,128,32,58.1,48.0,66.7,125,25,48.5,43.3,60.0
19027,107,24,42.4,47.1,72.2,108,28,45.5,26.9,61.1
18295,101,25,43.0,48.0,87.5,107,28,54.2,30.0,64.7
19596,131,43,52.8,50.0,70.0,121,37,47.8,34.3,77.8
12328,90,15,38.9,25.0,77.8,120,28,55.4,22.2,92.3
18997,114,38,51.2,58.8,75.0,113,21,50.0,44.8,73.7
19432,91,27,41.0,27.8,94.7,110,15,48.2,38.5,85.7
20246,122,34,47.3,48.1,75.0,113,30,44.2,39.1,84.8
14583,107,22,40.9,26.8,90.9,111,24,42.7,21.6,72.4
12095,115,29,48.3,25.8,67.6,146,35,54.1,40.0,81.3
18624,117,23,44.6,43.6,84.6,113,16,48.2,31.0,73.3
18921,132,35,50.6,51.4,83.9,119,31,42.6,27.6,83.8
15953,95,22,44.4,23.5,57.9,120,22,47.7,50.0,75.8
14013,111,32,49.4,44.1,60.0,119,25,49.4,38.5,68.8
20409,111,30,51.2,30.0,77.8,134,35,57.0,46.9,80.8
19704,105,37,47.2,41.9,88.9,107,22,47.1,26.9,90.9
20008,106,27,49.4,37.9,62.5,118,33,54.8,24.1,73.1
18306,100,31,46.8,38.9,56.0,110,29,50.7,50.0,61.8
15843,98,26,44.0,30.8,55.6,107,23,50.6,36.4,61.9
