GameID,Date,City,Country,Home Team,Away Team,attendance,Home Score,Home 1st Q,Home FG%,Home 3pt%,Home FT%,Away Score,Away 1st Q,Away FG%,Away 3pt%,Away FT%
4c06f6af-980b-41b3-85c3-5975d8e03956,2018-10-17T00:00:00+00:00,Boston,USA,Boston Celtics,Philadelphia 76ers,18624,105,21,43.3,29.7,71.4,87,21,39.1,19.2,60.9
3594f3a2-86b8-4337-83d3-269c078c7f1f,2018-10-17T02:30:00+00:00,Oakland,USA,Golden State Warriors,Oklahoma City Thunder,19596,108,31,44.2,26.9,94.4,100,23,36.3,27,64.9
24b19539-d496-460a-9e9b-2194d0fcc82a,2018-10-17T23:00:00+00:00,Detroit,USA,Detroit Pistons,Brooklyn Nets,20332,103,24,42.4,25,86.4,100,29,48.8,18.5,68.2
35a15ba5-77f8-45f5-91a6-79bbc3fbf989,2018-10-17T23:00:00+00:00,Charlotte,USA,Charlotte Hornets,Milwaukee Bucks,17889,112,23,44.6,42.1,63.6,113,36,49.4,41.2,75
b83e3709-b996-4df3-b448-af91c5566187,2018-10-17T23:00:00+00:00,Indianapolis,USA,Indiana Pacers,Memphis Grizzlies,17923,111,27,56.6,38.5,53.8,83,16,29.8,34.5,82.1
e7244f7c-1d8b-45cf-8d4d-93defe2c2d20,2018-10-17T23:00:00+00:00,Orlando,USA,Orlando Magic,Miami Heat,19191,104,25,41.5,28,61.3,101,31,39.2,27.3,72.7
c485ad3e-004c-4a09-8737-2665ede55be8,2018-10-17T23:30:00+00:00,New York,USA,New York Knicks,Atlanta Hawks,18249,126,23,45.5,36.4,77.4,107,24,45.6,27.8,83.3
c7ed20dd-e544-4fe8-bc40-ea44a87b2720,2018-10-17T23:30:00+00:00,Toronto,CAN,Toronto Raptors,Cleveland Cavaliers,19915,116,28,48.9,42.4,60,104,25,40,36.8,74.4
521a9333-9779-403c-bbf1-e0526b4b4523,2018-10-18T00:00:00+00:00,Houston,USA,Houston Rockets,New Orleans Pelicans,18055,112,29,42.4,33.3,75,131,35,53.1,40,77.3
5dd84383-b823-4bd6-b6dd-66abe9ad63dd,2018-10-18T00:30:00+00:00,San Antonio,USA,San Antonio Spurs,Minnesota Timberwolves,18354,112,31,43,44,72.4,108,23,42.9,31.6,88.9
f467b6ac-8d98-478b-b585-f49c78944724,2018-10-18T02:00:00+00:00,Sacramento,USA,Sacramento Kings,Utah Jazz,17583,117,34,51.6,36.8,66.7,123,30,51.9,48.1,73.7
